nombre_archivo1,nombre_archivo2,similaridad
ehc302.txt,bmu143.txt,1.245
ehc302.txt,bmu362.txt,1.024
ehc302.txt,eft6.txt,1.014
ehc302.txt,gqc50.txt,1.021
ehc302.txt,pko170.txt,1.055
ehc302.txt,pnl125.txt,1.004
ehc302.txt,prz8.txt,1.231
ehc302.txt,prz87.txt,1.114
ehc302.txt,prz127.txt,1.118
ehc315.txt,bah48.txt,1.225
ehc315.txt,bah62.txt,1.141
ehc315.txt,bah63.txt,1.6
ehc315.txt,bah200.txt,1.059
ehc315.txt,bah268.txt,1.926
ehc315.txt,bgt157.txt,1.222
ehc315.txt,bgt160.txt,1.217
ehc315.txt,bgt350.txt,1.553
ehc315.txt,ckh31.txt,1.266
ehc315.txt,ecu107.txt,1.435
ehc315.txt,ecu249.txt,1.113
ehc315.txt,emt102.txt,1.063
ehc315.txt,erk235.txt,1.023
ehc315.txt,peh200.txt,1.079
ehc315.txt,prz217.txt,1.169
ehc315.txt,saq61.txt,1.139
ehc315.txt,sra216.txt,1.321
ehc322.txt,ecu61.txt,1.071
ehc322.txt,edo56.txt,1.384
ehc322.txt,edo96.txt,1.119
ehc322.txt,eft11.txt,1.003
ehc322.txt,esv276.txt,1.225
ehc322.txt,pko54.txt,1.03
ehc322.txt,pko90.txt,1.085
ehc322.txt,prz8.txt,1.325
ehc337.txt,aky101.txt,1.174
ehc337.txt,aky140.txt,1.181
ehc337.txt,ame196.txt,1.152
ehc337.txt,ame230.txt,1.231
ehc337.txt,bah7.txt,1.252
ehc337.txt,bah15.txt,1.448
ehc337.txt,bah67.txt,1.117
ehc337.txt,bah200.txt,1.306
ehc337.txt,bah270.txt,1.202
ehc337.txt,bgt35.txt,1.458
ehc337.txt,bgt180.txt,1.174
ehc337.txt,bwa8.txt,2.383
ehc337.txt,bwa25.txt,1.04
ehc337.txt,bwa233.txt,1.19
ehc337.txt,bwa242.txt,1.172
ehc337.txt,bwa298.txt,2.385
ehc337.txt,bwa305.txt,2.776
ehc337.txt,ckh12.txt,1.014
ehc337.txt,ckh197.txt,1.009
ehc337.txt,ecu86.txt,1.163
ehc337.txt,ecu94.txt,1.039
ehc337.txt,ecu96.txt,1.219
ehc337.txt,ecu209.txt,1.091
ehc337.txt,ecu294.txt,1.212
ehc337.txt,edo248.txt,1.398
ehc337.txt,edo255.txt,1.186
ehc337.txt,eft10.txt,2.076
ehc337.txt,eft113.txt,1.06
ehc337.txt,ehc71.txt,1.014
ehc337.txt,ehc171.txt,1.003
ehc337.txt,enq190.txt,1.056
ehc337.txt,enq236.txt,1.251
ehc337.txt,eqw140.txt,1.024
ehc337.txt,eqw232.txt,1.062
ehc337.txt,erk8.txt,1.134
ehc337.txt,esv33.txt,1.276
ehc337.txt,esv276.txt,1.689
ehc337.txt,esv308.txt,1.034
ehc337.txt,euz118.txt,1.103
ehc337.txt,euz143.txt,1.11
ehc337.txt,evj152.txt,1.041
ehc337.txt,evj243.txt,1.185
ehc337.txt,evj265.txt,1.281
ehc337.txt,exw38.txt,1.019
ehc337.txt,exw229.txt,1.005
ehc337.txt,hal131.txt,1.314
ehc337.txt,hmd29.txt,1.152
ehc337.txt,hmd240.txt,1.156
ehc337.txt,hmd303.txt,1.016
ehc337.txt,hte5.txt,1.036
ehc337.txt,prz22.txt,1.002
ehc337.txt,prz33.txt,1.733
ehc337.txt,prz165.txt,1.084
ehc337.txt,prz205.txt,1.026
ehc337.txt,prz253.txt,2.164
ehc337.txt,saq112.txt,1.033
ehc337.txt,sra126.txt,1.08
ehc337.txt,sra140.txt,1.026
ehc337.txt,sra209.txt,1.146
ehc337.txt,sra223.txt,1.566
ehc337.txt,toi94.txt,1.045
ehc337.txt,toi103.txt,1.249
ehc337.txt,toi141.txt,1.611
ehc337.txt,tvh61.txt,1.394
ehc337.txt,tvh156.txt,1.002
ehc337.txt,tyc18.txt,1.223
ehc337.txt,tyc36.txt,1.037
emt15.txt,ame86.txt,1.051
emt15.txt,ame229.txt,1.06
emt15.txt,bah7.txt,1.22
emt15.txt,bmu89.txt,1.054
emt15.txt,bmu142.txt,1.174
emt15.txt,bmu362.txt,1.39
emt15.txt,edo8.txt,1.022
