nombre_archivo1,nombre_archivo2,similaridad
abf0704.txt,abf70402.txt,48.856
abf0704.txt,edo20.txt,2.074
abf0704.txt,edo26.txt,52.886
abf70402.txt,edo20.txt,1.382
abf70402.txt,edo26.txt,31.048
bmu5.txt,bmu021.txt,100.0
bmu385.txt,bmu392.txt,1.022
bmu389.txt,bmu392.txt,1.03
bmu415.txt,bwa242.txt,1.025
bwa0.txt,bwa8.txt,1.094
bwa0.txt,bwa71.txt,1.232
bwa0.txt,bwa86.txt,1.244
bwa0.txt,bwa132.txt,1.396
bwa0.txt,bwa136.txt,1.292
bwa0.txt,bwa242.txt,1.965
bwa0.txt,bwa249.txt,1.146
bwa0.txt,ecu201.txt,1.082
bwa0.txt,edo20.txt,1.268
bwa0.txt,sra42.txt,1.227
bwa0.txt,sra126.txt,1.128
bwa8.txt,bwa240.txt,1.071
bwa8.txt,bwa242.txt,1.4
bwa8.txt,edo20.txt,1.157
bwa8.txt,sra42.txt,1.562
bwa8.txt,sra126.txt,1.1
bwa13.txt,bwa72.txt,1.156
bwa25.txt,bwa136.txt,1.478
bwa64.txt,ehc229.txt,1.114
bwa71.txt,bwa98.txt,1.235
bwa71.txt,tyc12.txt,1.189
bwa74.txt,ehc229.txt,1.493
bwa81.txt,bwa242.txt,1.053
bwa86.txt,bwa242.txt,1.08
bwa86.txt,bwa249.txt,1.085
bwa98.txt,pko4.txt,1.183
bwa132.txt,bwa133.txt,1.828
bwa132.txt,bwa137.txt,1.523
bwa132.txt,bwa242.txt,1.12
bwa132.txt,sra126.txt,1.063
bwa133.txt,bwa137.txt,1.03
bwa137.txt,bwa242.txt,1.208
bwa137.txt,edo20.txt,1.382
bwa233.txt,bwa242.txt,1.963
bwa233.txt,ecu201.txt,1.56
bwa233.txt,sra126.txt,1.36
bwa234.txt,bwa242.txt,1.012
bwa240.txt,sra42.txt,1.2
bwa242.txt,bwa249.txt,2.129
bwa242.txt,ecu201.txt,2.082
bwa242.txt,edo20.txt,1.329
bwa242.txt,sra42.txt,2.076
bwa242.txt,sra126.txt,1.938
ecu201.txt,encontrame.txt,26.027
ecu201.txt,sra42.txt,1.638
ecu201.txt,sra126.txt,1.224
edo20.txt,edo26.txt,1.79
edo20.txt,sra42.txt,1.052
edo20.txt,sra126.txt,1.213
ehc229.txt,sra42.txt,1.164
encontrame.txt,hal10.txt,26.542
encontrame.txt,tyc12.txt,53.453
esv254.txt,sra126.txt,1.186
hce209.txt,prz100.txt,1.321
hce209.txt,smu0.txt,61.758
pko4.txt,pko5.txt,83.355
prz100.txt,smu0.txt,1.108
sra31.txt,sra42.txt,1.3
sra42.txt,sra119.txt,1.051
sra42.txt,sra126.txt,2.711
